stock,ticker,market cap,beta,price,sector
"Dr Pepper Snapple Group, Inc",DPS,$17.14B,0.9,797.47,Consumer Non-Durables
Vornado Realty Trust,VNO^G,n/a,1.89,300.76,n/a
VALE S.A.,VALE,$40.61B,0.74,36.78,Basic Industries
GasLog LP.,GLOG^A,n/a,1.06,597.84,n/a
Dolby Laboratories,DLB,$5.04B,0.88,295.06,Miscellaneous
"Ocean Bio-Chem, Inc.",OBCI,$37.26M,1.49,935.8,Consumer Durables
Phillips 66 Partners LP,PSXP,$5.04B,0.34,250.65,Energy
"Codorus Valley Bancorp, Inc",CVLY,$225.47M,1.65,929.1,Finance
Conduent Incorporated,CNDT,$3.33B,0.39,729.53,Miscellaneous
VOXX International Corporation,VOXX,$169.12M,0.85,420.65,Consumer Non-Durables
"J. Jill, Inc.",JILL,$566.1M,0.03,116.13,Consumer Non-Durables
Nuveen Municipal 2021 Target Term Fund,NHA,$84.71M,0.07,455.66,n/a
J P Morgan Chase & Co,JPM^A,n/a,0.26,27.72,Finance
Duke Realty Corporation,DRE,$10.25B,0.33,323.51,Consumer Services
Harmony Gold Mining Company Limited,HMY,$734.96M,1.48,16.64,Basic Industries
"FlexShopper, Inc.",FPAY,$22.21M,1.8,532.78,Technology
Invesco High Income 2023 Target Term Fund,IHIT,$238.94M,1.08,184.35,n/a
IRSA Inversiones Y Representaciones S.A.,IRS,$1.38B,0.21,689.11,Consumer Services
First Trust Dorsey Wright Focus 5 ETF,FV,$2.46B,1.33,432.57,n/a
LATAM Airlines Group S.A.,LTM,$6.79B,0.67,61.38,Transportation
XOMA Corporation,XOMA,$48.4M,0.12,472.9,Health Care
"Cellectar Biosciences, Inc.",CLRBZ,n/a,1.92,268.59,Health Care
Tsakos Energy Navigation Ltd,TNP,$366.58M,0.37,153.04,Transportation
"Nature's Sunshine Products, Inc.",NATR,$249.94M,0.03,783.01,Health Care
Scorpio Bulkers Inc.,SLTB,n/a,0.06,59.41,Transportation
Walt Disney Company (The),DIS,$165.11B,1.78,732.81,Consumer Services
Protective Life Corporation,PL^E,n/a,1.02,313.15,n/a
CyberArk Software Ltd.,CYBR,$1.67B,1.4,339.91,Technology
ITUS Corporation,ITUS,$14.36M,1.48,68.73,Miscellaneous
Ivy High Income Opportunities Fund,IVH,$257.12M,1.75,153.51,n/a
Charles & Colvard Ltd,CTHR,$19.68M,1.21,49.49,Consumer Durables
ARRIS International plc,ARRS,$5.44B,0.01,738.25,Technology
Allstate Corporation (The),ALL^C,n/a,1.89,156.29,n/a
"Crocs, Inc.",CROX,$537.11M,1.85,548.48,Consumer Non-Durables
WisdomTree Strategic Corporate Bond Fund,CRDT,$7.84M,1.68,47.46,n/a
Nuveen Floating Rate Income Fund,JFR,$663.3M,0.63,718.87,n/a
Arbor Realty Trust,ABR^A,n/a,0.8,403.72,n/a
Capital Bank Financial Corp.,CBF,$1.99B,1.64,722.23,Finance
"IDEXX Laboratories, Inc.",IDXX,$14.16B,0.55,979.85,Health Care
"MasTec, Inc.",MTZ,$3.69B,0.02,388.57,Basic Industries
Qwest Corporation,CTZ,n/a,1.27,848.37,Public Utilities
Voya Asia Pacific High Dividend Equity Income Fund,IAE,$126.72M,0.78,79.97,n/a
"American Financial Group, Inc.",AFA,n/a,0.26,621.99,Finance
"Kforce, Inc.",KFRC,$498.13M,1.64,223.76,Technology
"National CineMedia, Inc.",NCMI,$493.54M,0.6,427.69,Consumer Services
"Lakeland Bancorp, Inc.",LBAI,$937.55M,1.22,158.7,Finance
Pacific Mercantile Bancorp,PMBC,$198.16M,0.2,840.63,Finance
Marriot Vacations Worldwide Corporation,VAC,$3.28B,0.07,349.93,Finance
"DineEquity, Inc",DIN,$775.3M,0.04,66,Consumer Services
"American Airlines Group, Inc.",AAL,$24.03B,1.94,336.93,Transportation
Gramercy Property Trust Inc.,GPT^A,n/a,0.84,672.65,n/a
"PDF Solutions, Inc.",PDFS,$527.78M,1.87,968.15,Technology
American Homes 4 Rent,AMH^F,n/a,1.91,568.66,n/a
"Instructure, Inc.",INST,$751.86M,0.61,734.77,Technology
Digimarc Corporation,DMRC,$395.82M,1.29,834.81,Technology
Modine Manufacturing Company,MOD,$833.83M,1.04,272.99,Capital Goods
ChannelAdvisor Corporation,ECOM          ,$305.43M,0.16,22.75,Technology
Tribune Media Company,TRCO,$3.57B,1.55,606.26,Consumer Services
PIMCO Dynamic Credit and Mortgage Income Fund,PCI,$3.02B,1.09,763.54,n/a
Magal Security Systems Ltd.,MAGS,$116.83M,1.36,659.9,Consumer Durables
Long Island Iced Tea Corp.,LTEA,$48.2M,0.26,830.86,Consumer Non-Durables
"American Axle & Manufacturing Holdings, Inc.",AXL,$1.62B,1.73,255.31,Capital Goods
CPFL Energia S.A.,CPL,$8.14B,1.9,88.99,Public Utilities
"Concert Pharmaceuticals, Inc.",CNCE,$299.64M,1.38,663.5,Health Care
"Shoe Carnival, Inc.",SCVL,$345.67M,1.2,884.59,Consumer Services
Ingredion Incorporated,INGR,$8.52B,1.41,350.03,Consumer Non-Durables
Silicom Ltd,SILC,$347.78M,1.51,759.24,Technology
"Coastway Bancorp, Inc.",CWAY,$91.14M,0.77,313.63,Finance
Southern Copper Corporation,SCCO,$26.62B,0.85,505.86,Basic Industries
Federated Premier Municipal Income Fund,FMN,$89.57M,1.02,883.56,n/a
CVS Health Corporation,CVS,$78.51B,1.25,555.8,Health Care
"Opko Health, Inc.",OPK,$3.65B,0.75,807.62,Health Care
Liberty Broadband Corporation,LBRDA,$15.85B,1.5,513.74,Consumer Services
"Tortoise MLP Fund, Inc.",NTG,$854.52M,1.18,551.33,n/a
"Oaktree Capital Group, LLC",OAK,$7.36B,1.74,937.52,Finance
Costamare Inc.,CMRE^D,n/a,1.34,781.79,n/a
PCSB Financial Corporation,PCSB,$324.79M,0.84,225.46,Finance
"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",VLRS,$1.44B,1.46,900.15,Transportation
Fanhua Inc.,FANH,$554.47M,0.37,258.6,Finance
J P Morgan Chase & Co,JPM,$306.18B,1.82,135.74,Finance
Vertex Pharmaceuticals Incorporated,VRTX,$30.67B,1.99,866.36,Health Care
Bellatrix Exploration Ltd,BXE,$152.93M,1.46,21.16,Energy
"Niagara Mohawk Holdings, Inc.",NMK^C,n/a,0.2,570.04,Public Utilities
"Stanley Furniture Company, Inc.",STLY,$18.34M,0.95,30.2,Consumer Durables
"Sabra Healthcare REIT, Inc.",SBRAP,$146.63M,0.54,889.16,Consumer Services
United Technologies Corporation,UTX,$96.49B,1.69,722.19,Capital Goods
Chemours Company (The),CC,$6.77B,1.34,412.47,Basic Industries
"Validus Holdings, Ltd.",VR^A,n/a,0.51,916.98,n/a
International Game Technology,IGT,$3.68B,1.82,948.16,Consumer Services
PowerShares DWA SmallCap Momentum Portfolio,DWAS,$182.87M,1.7,841.31,n/a
"Shoe Carnival, Inc.",SCVL,$345.67M,1.57,596.53,Consumer Services
"AmTrust Financial Services, Inc.",AFST,n/a,0.06,440.78,Finance
VelocityShares Daily 2x VIX Medium-Term ETN,TVIZ,$2.21M,1.36,682.28,Finance
Sony Corp Ord,SNE,$47.14B,1.34,27.56,Consumer Non-Durables
Cytosorbents Corporation,CTSO,$102.6M,0.03,553.76,Health Care
Andina Acquisition Corp. II,ANDAR,n/a,0.15,561.36,Finance
"Integrated Device Technology, Inc.",IDTI,$3.26B,1.16,670.66,Technology
Alphabet Inc.,GOOGL,$663.12B,1.78,736.58,Technology
Skyline Medical Inc.,SKLN,$9.9M,1.81,795.07,Health Care
Accenture plc,ACN,$81.78B,1.58,679.02,Miscellaneous
"Voyager Therapeutics, Inc.",VYGR,$263.7M,0.2,695.84,Health Care
Vanguard Global ex-U.S. Real Estate ETF,VNQI,$4.39B,1.05,158.7,n/a
"CoreLogic, Inc.",CLGX,$3.61B,0.56,712.6,Technology
LPL Financial Holdings Inc.,LPLA,$3.74B,0.06,899.76,Finance
RiceBran Technologies,RIBT,$9.62M,1.26,874.74,Consumer Non-Durables
ContraFect Corporation,CFRX,$47.9M,1.96,900.95,Health Care
"Yatra Online, Inc.",YTRA,$398.74M,0.74,714.63,Consumer Services
"Power Integrations, Inc.",POWI,$1.89B,0.12,67.82,Technology
Cooper-Standard Holdings Inc.,CPS,$1.86B,1.82,161.41,Capital Goods
"Ohr Pharmaceuticals, Inc.",OHRP,$33.73M,0.72,78.44,Health Care
"Willdan Group, Inc.",WLDN,$256.36M,0.66,161.9,Consumer Services
Crawford & Company,CRD.A,n/a,0.12,375.23,n/a
Blue Capital Reinsurance Holdings Ltd.,BCRH,$169.43M,0.47,180.23,Finance
HNI Corporation,HNI,$1.75B,1.24,842.64,Consumer Durables
"Hostess Brands, Inc.",TWNK,$2.09B,1.13,101.71,Consumer Non-Durables
"PNM Resources, Inc. (Holding Co.)",PNM,$3.17B,0.63,275.56,Public Utilities
"Verifone Systems, Inc.",PAY,$1.93B,0.75,396.92,Miscellaneous
"Fidelity National Financial, Inc.",FNFV,$5.09B,1.74,787.69,Finance
Knowles Corporation,KN,$1.54B,0.08,983.06,Consumer Non-Durables
El Paso Electric Company,EE,$2.17B,1.57,986.85,Public Utilities
Cabela's Inc,CAB,$3.94B,0.18,503.46,Consumer Services
"Stanley Black & Decker, Inc.",SWK,$21.61B,0.24,818.76,Capital Goods
Pebblebrook Hotel Trust,PEB,$2.33B,1.19,671.89,Consumer Services
State Street Corporation,STT^C,n/a,1.28,963.38,n/a
"Teradyne, Inc.",TER,$6.47B,0.29,66.92,Capital Goods
Invesco Trust  for Investment Grade New York Municipal,VTN,$268.02M,1.89,503.86,n/a
"Cornerstone OnDemand, Inc.",CSOD,$2.09B,1.64,347.25,Technology
"Orchid Island Capital, Inc.",ORC,$350.52M,0.98,572.47,Consumer Services
Tekla Healthcare Opportunies Fund,THQ,$772.41M,1.16,378.49,n/a
Fang Holdings Limited,SFUN,$1.54B,1.15,581.77,Technology
"Viveve Medical, Inc.",VIVE,$152.9M,0.13,544.35,Health Care
Fluor Corporation,FLR,$6.3B,0.05,938.22,Basic Industries
"Atlantic Capital Bancshares, Inc.",ACBI,$482.16M,1.91,922.6,Finance
National Instruments Corporation,NATI,$5.07B,0.55,497.6,Technology
"Dupont Fabros Technology, Inc.",DFT^C,n/a,0.08,261.61,n/a
Regal Entertainment Group,RGC,$3.36B,1.55,318.99,Consumer Services
Internap Corporation,INAP,$273.47M,1.86,503.6,Technology
Plumas Bancorp,PLBC,$95.92M,0.87,745.25,Finance
"MobileIron, Inc.",MOBL,$571.52M,1.37,189.05,Technology
"Cleantech Solutions International, Inc.",CLNT,$6.29M,0.29,246.11,Technology
Marathon Oil Corporation,MRO,$10.64B,0.39,642.34,Energy
Enel Generacion Chile S.A.,EOCC,$6.28B,0.48,417.96,Public Utilities
Astronics Corporation,ATRO,$883.27M,0.09,48.4,Capital Goods
Immuron Limited,IMRNW,n/a,0.21,982.12,Health Care
Legg Mason Emerging Markets Diversified Core ETF,EDBI,n/a,1.66,7.42,n/a
"PGT Innovations, Inc.",PGTI,$610.36M,1.5,690.59,Capital Goods
INVESCO MORTGAGE CAPITAL INC,IVR,$1.9B,1.71,567.18,Consumer Services
Washington Prime Group Inc.,WPG^I,n/a,0.28,414.41,n/a
"Caleres, Inc.",CAL,$1.15B,1.22,253.68,Consumer Non-Durables
"Waddell & Reed Financial, Inc.",WDR,$1.56B,0.76,484.66,Finance
Unico American Corporation,UNAM,$49.09M,1.94,555.31,Finance
"Continental Resources, Inc.",CLR,$12.39B,1.18,352.79,Energy
Federal Agricultural Mortgage Corporation,AGM,$719.35M,0.98,476.65,Finance
Public Storage,PSA^F,n/a,1.09,760.97,Consumer Services
Platform Specialty Products Corporation,PAH,$3.52B,0.79,788.07,Basic Industries
Astrazeneca PLC,AZN,$87.46B,1.57,493.13,Health Care
Scana Corporation,SCG,$10.18B,0.09,925.75,Public Utilities
"BMC Stock Holdings, Inc.",BMCH,$1.48B,0.63,107.1,Consumer Services
"Commerce Bancshares, Inc.",CBSHP,$2.4B,1.4,728.74,Finance
Fairmount Santrol Holdings Inc.,FMSA,$882.34M,1.97,559.63,Basic Industries
Entergy Texas Inc,EZT,n/a,0.45,208.78,Public Utilities
"Hortonworks, Inc.",HDP,$842.24M,1.9,490.99,Technology
Noah Holdings Ltd.,NOAH,$1.51B,1.33,735.84,Finance
GP Investments Acquisition Corp.,GPIAU,n/a,1.97,13.7,Consumer Durables
Georgia Power Company,GPE^A,n/a,0.8,19.5,Public Utilities
Nuveen Floating Rate Income Opportuntiy Fund,JRO,$461.83M,0.39,344.36,n/a
"Validus Holdings, Ltd.",VR,$4.21B,0.45,676.26,Finance
EQT Corporation,EQT,$10.19B,0.99,347.86,Energy
"Myers Industries, Inc.",MYE,$551.95M,1.04,451.43,Consumer Non-Durables
"Customers Bancorp, Inc",CUBI,$875.28M,0,179.29,Finance
Ikonics Corporation,IKNX,$16.39M,0.9,486.19,Miscellaneous
United States Cellular Corporation,UZA,n/a,1.17,431.05,Public Utilities
Nuveen Global High Income Fund,JGH,$386.58M,0.8,714.4,n/a
State Street Corporation,STT,$33.2B,0.19,307.88,Finance
"Sound Financial Bancorp, Inc.",SFBC,$74.25M,1.34,400.38,Finance
Mesa Royalty Trust,MTR,$22.46M,1.38,471.45,Energy
"I.D. Systems, Inc.",IDSY,$87.7M,1.28,497.31,Consumer Durables
Geospace Technologies Corporation,GEOS,$207.39M,0.47,387.89,Capital Goods
Royal Bank Of Canada,RY^S,n/a,1,277.09,n/a
Navistar International Corporation,NAV,$2.61B,1.08,161.39,Capital Goods
Pengrowth Energy Corporation,PGH,$449.92M,0.61,574.16,Energy
"Summit Midstream Partners, LP",SMLP,$1.7B,1.05,745.09,Public Utilities
Jensyn Acquistion Corp.,JSYNW,n/a,1.63,610.06,Finance
NCR Corporation,NCR,$4.82B,0.8,338.37,Miscellaneous
RenaissanceRe Holdings Ltd.,RNR^C,n/a,1.91,305.06,n/a
"Liquidity Services, Inc.",LQDT,$201.51M,1.26,262.25,Miscellaneous
Cemtrex Inc.,CETX,$32.63M,0.78,502.04,Capital Goods
Finisar Corporation,FNSR,$3.1B,0.32,485.04,Technology
Fibria Celulose S.A.,FBR,$6.18B,1.54,180.61,Basic Industries
Genuine Parts Company,GPC,$14.09B,0.09,5.24,Capital Goods
Horizons NASDAQ-100 Covered Call ETF,QYLD,$19.06M,0.59,303.88,n/a
Diana Shipping inc.,DSX^B,n/a,1.51,258.11,n/a
Ares Capital Corporation,ARU.CL,n/a,0.14,557.09,n/a
iShares MSCI Europe Financials Sector Index Fund,EUFN,$1.15B,1.92,71,n/a
"Cellectar Biosciences, Inc.",CLRB,$21.4M,0.72,671.18,Health Care
LiNiu Technology Group,LINU,$40.17M,0.03,98.91,Consumer Services
Foresight Energy LP,FELP,$703.44M,0.26,487.74,Energy
"Ambac Financial Group, Inc.",AMBC,$721.4M,1.63,938.94,Finance
Neonode Inc.,NEON,$60.57M,2,512.2,Capital Goods
"USA Technologies, Inc.",USATP,$10.91M,1.42,103.23,Miscellaneous
IRSA Inversiones Y Representaciones S.A.,IRS,$1.38B,0.12,674.51,Consumer Services
"Wheeler Real Estate Investment Trust, Inc.",WHLR,$85.97M,1.8,32.85,Consumer Services
Athene Holding Ltd.,ATH,$9.79B,1.85,882.32,Finance
"Goldman Sachs BDC, Inc.",GSBD,$907.67M,1.62,251.4,n/a
TCP Capital Corp.,TCPC,$985.94M,1.27,508,n/a
Coca Cola Femsa S.A.B. de C.V.,KOF,$17.31B,1.65,189,Consumer Non-Durables
Janus Henderson Group plc,JHG,$367.06M,0.16,876.41,Finance
PIMCO Municipal Income Fund III,PMX,$383.96M,0.74,149.2,n/a
Logitech International S.A.,LOGI,$6B,1.38,955.8,Technology
Pacific Premier Bancorp Inc,PPBI,$1.45B,0.29,363.91,Finance
Cohen & Steers Quality Income Realty Fund Inc,RQI,$1.4B,0.46,142.64,n/a
"Chart Industries, Inc.",GTLS,$1.07B,1.04,449.72,Capital Goods
Global Indemnity Limited,GBLI,$727.71M,0.69,857.77,Finance
"PROS Holdings, Inc.",PRO,$847.46M,1.68,352.25,Technology
"Castlight Health, inc.",CSLT,$509.01M,0.96,120.98,Technology
"B. Riley Financial, Inc.",RILY,$410.14M,1.62,694.33,Miscellaneous
"United Natural Foods, Inc.",UNFI,$1.79B,0.17,992.72,Consumer Non-Durables
"Duff & Phelps Utility & Corporate Bond Trust, Inc.",DUC,$254.6M,1.83,360.19,n/a
NASDAQ TEST STOCK,NTEST.A,n/a,1.62,247.88,n/a
AZZ Inc.,AZZ,$1.47B,1.27,307.04,Consumer Durables
Enstar Group Limited,ESGR,$3.84B,1.38,399,Finance
Companhia Paranaense de Energia (COPEL),ELP,$2.11B,0.59,926.18,Public Utilities
Trinity Biotech plc,TRIB,$142.56M,0.62,132.83,Health Care
"Oppenheimer Holdings, Inc.",OPY,$219.09M,0.14,800.42,Finance
ASA Gold and Precious Metals Limited,ASA,$222.22M,0.98,455.68,n/a
Corning Incorporated,GLW,$27.06B,1.46,139.65,Basic Industries
Brink's Company (The),BCO,$3.32B,1.69,493.98,Transportation
"Customers Bancorp, Inc",CUBI,$875.28M,1.82,737.59,Finance
Check Point Software Technologies Ltd.,CHKP,$18.26B,1.6,484.08,Technology
SPX Corporation,SPXC,$1.06B,1.88,470.68,Technology
"Rubicon Technology, Inc.",RBCN,$24.45M,0.83,721.06,Technology
"Morgan Stanley Emerging Markets Debt Fund, Inc.",MSD,$213.38M,1.57,441.55,n/a
Teradata Corporation,TDC,$3.66B,1.5,453.92,Technology
"WPX Energy, Inc.",WPXP,n/a,0.72,83.88,Energy
Shaw Communications Inc.,SJR,$10.72B,0.41,7.12,Consumer Services
Caesars Entertainment Corporation,CZR,$1.83B,1.37,684.69,Consumer Services
Citizens & Northern Corp,CZNC,$287.82M,1.18,329.4,Finance
Vanguard Total International Stock ETF,VXUS,$8.57B,1,648.52,n/a
Celyad SA,CYAD,$445M,1.09,503.6,Health Care
Education Realty Trust Inc.,EDR,$2.88B,0.88,586.5,Consumer Services
"New York Community Bancorp, Inc.",NYCB^U,n/a,1.05,832.37,n/a
Global Indemnity Limited,GBLI,$727.71M,0.91,760.62,Finance
"Innophos Holdings, Inc.",IPHS,$854.42M,0.39,787.33,Consumer Durables
MSB Financial Corp.,MSBF,$99.4M,0.06,822.6,Finance
Innocoll Holdings,INNL,$888.93M,0.09,960.47,Health Care
Kayne Anderson Acquisition Corp.,KAAC,$459.39M,0,427.76,Finance
Getty Realty Corporation,GTY,$896.38M,1.87,25.44,Finance
"WellCare Health Plans, Inc.",WCG,$7.77B,0.15,187.14,Health Care
"Entergy Arkansas, Inc.",EAE,n/a,0.22,484.05,Public Utilities
"American Electric Technologies, Inc.",AETI,$12.31M,0.65,88.79,Energy
Potash Corporation of Saskatchewan Inc.,POT,$14.1B,0.46,797.26,Basic Industries
W.R. Grace & Co.,GRA,$4.82B,1.2,310.58,Basic Industries
"Blackrock MuniHoldings Quality Fund, Inc.",MUS,$177.4M,1.88,91.14,n/a
"Daktronics, Inc.",DAKT,$426.37M,0.3,871.89,Consumer Durables
Cincinnati Financial Corporation,CINF,$12.15B,1.73,613.44,Finance
"Alliance Holdings GP, L.P.",AHGP,$1.37B,0.96,342.96,Energy
Nano Dimension Ltd.,NNDM,$60.98M,0.42,832.9,Technology
"Bazaarvoice, Inc.",BV,$397.33M,0.99,657.98,Technology
Coty Inc.,COTY,$14.24B,1.75,579.79,Consumer Non-Durables
Forum Merger Corporation,FMCIW,n/a,0.42,631.43,Finance
Pimco Global Stocksplus & Income Fund,PGP,$190.99M,1.65,688.37,n/a
Graphic Packaging Holding Company,GPK,$4.08B,0.62,549.09,Consumer Durables
Invesco Municipal Income Opportunities Trust,OIA,$376.32M,1.26,89.23,n/a
Mesa Royalty Trust,MTR,$22.46M,1.03,30.24,Energy
WisdomTree U.S. Quality Dividend Growth Fund,DGRW,$1.45B,0.43,387.3,n/a
Vantage Energy Acquisition Corp.,VEACU,n/a,1.97,983.34,Finance
Vista Outdoor Inc.,VSTO,$1.35B,0.43,982.71,Capital Goods
"Henry Schein, Inc.",HSIC,$14.5B,1.68,703.72,Health Care
Enterprise Financial Services Corporation,EFSC,$965.1M,1.39,507.11,Finance
"Blackhawk Network Holdings, Inc.",HAWK,$2.32B,0.02,483.39,Finance
Five Oaks Investment Corp.,OAKS,$80.86M,1.56,594.15,Consumer Services
CMS Energy Corporation,CMS^B,n/a,0.46,71.46,Public Utilities
New Residential Investment Corp.,NRZ,$5.14B,0.13,838.42,Consumer Services
"Daktronics, Inc.",DAKT,$426.37M,0.53,72.76,Consumer Durables
WVS Financial Corp.,WVFC,$31.32M,0.34,642.2,Finance
Farmers National Banc Corp.,FMNB,$395.17M,1.28,672.26,Finance
"Medical Transcription Billing, Corp.",MTBCP,$7.52M,1.17,155.82,Technology
"Intuitive Surgical, Inc.",ISRG,$33.7B,1.84,18.17,Health Care
"Reinsurance Group of America, Incorporated",RZA,n/a,0.31,444.62,Finance
Trustmark Corporation,TRMK,$2.24B,0.35,532.96,Finance
Axalta Coating Systems Ltd.,AXTA,$8.17B,0.73,944.5,Basic Industries
Enel Americas S.A.,ENIA,$10.9B,0.29,763.69,Public Utilities
Targa Resources Partners LP,NGLS^A,n/a,0.16,356.36,n/a
"Titan International, Inc.",TWI,$698.59M,0.82,525.35,Basic Industries
"Amazon.com, Inc.",AMZN,$472.1B,1.16,581.18,Consumer Services
"21Vianet Group, Inc.",VNET,$617.53M,0.33,98.44,Technology
First Trust Senior Loan Fund ETF,FTSL,$1.28B,0.95,945.01,n/a
Allergan plc.,AGN^A,n/a,0.64,752.94,n/a
"American National Bankshares, Inc.",AMNB,$330M,0.11,584.61,Finance
"China Jo-Jo Drugstores, Inc.",CJJD,$44.38M,1.19,15.89,Consumer Durables
Telefonica Brasil S.A.,VIV,$23.59B,0.57,950.68,Public Utilities
PowerShares S&P SmallCap Financials Portfolio,PSCF,$243.51M,0.16,484.63,n/a
Approach Resources Inc.,AREX,$233.83M,0.77,329.13,Energy
"RF Industries, Ltd.",RFIL,$14.58M,0.62,63.85,Capital Goods
"Alexandria Real Estate Equities, Inc.",ARE^D,n/a,0.03,637.03,n/a
"ViewRay, Inc.",VRAY,$370.12M,1.54,356.64,Health Care
Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ,GNK,$323.86M,1.6,549.36,Transportation
"Collegium Pharmaceutical, Inc.",COLL,$312.26M,0.76,874.14,Health Care
FinTech Acquisition Corp. II,FNTEU,n/a,1.11,242.82,Finance
Oracle Corporation,ORCL,$185.53B,0.85,784.74,Technology
"Athersys, Inc.",ATHX,$158.07M,1.86,348.04,Health Care
Eaton Vance Risk-Managed Diversified Equity Income Fund,ETJ,$601.02M,0.48,590.31,n/a
"CenterPoint Energy, Inc.",CNP,$12.45B,1.97,905.02,Public Utilities
Cementos Pacasmayo S.A.A.,CPAC,$979.51M,0.68,663.61,Capital Goods
"Shoe Carnival, Inc.",SCVL,$345.67M,0.85,485.53,Consumer Services
Vident Core U.S. Bond Strategy Fund,VBND,$428.97M,1.91,570.83,n/a
"Voyager Therapeutics, Inc.",VYGR,$263.7M,1.82,343.69,Health Care
RXi Pharmaceuticals Corporation,RXII,$12.79M,0.96,596.26,Health Care
Kennedy-Wilson Holdings Inc.,KW,$2.07B,0.67,50.95,Finance
R1 RCM Inc.,RCM,$419.06M,0.59,679.12,Consumer Services
"Tanger Factory Outlet Centers, Inc.",SKT,$2.49B,1.97,497.38,Consumer Services
"Ritter Pharmaceuticals, Inc.",RTTR,$9.14M,0.6,154.14,Health Care
Cameco Corporation,CCJ,$3.63B,0.98,678.36,Basic Industries
Cemtrex Inc.,CETXW,n/a,0.5,878.34,Capital Goods
Cincinnati Bell Inc,CBB^B,n/a,1.47,457.55,n/a
MFS Government Markets Income Trust,MGF,$162.35M,0.1,251.89,n/a
PowerShares DWA Healthcare Momentum Portfolio,PTH,$61.7M,1.01,146.89,n/a
Apache Corporation,APA,$18.85B,1.27,144.57,Energy
"Torchlight Energy Resources, Inc.",TRCH,$93.58M,1.47,289.59,Energy
"Live Nation Entertainment, Inc.",LYV,$7.49B,0.34,740.91,Consumer Services
Modern Media Acquisition Corp.,MMDM,n/a,0.59,314.59,Finance
Sonic Corp.,SONC,$1.2B,1.72,271.74,Consumer Services
Dynegy Inc.,DYNC,n/a,0.92,512.84,Public Utilities
Oxford Immunotec Global PLC,OXFD,$344.13M,1.45,595.83,Health Care
Chesapeake Granite Wash Trust,CHKR,$112.2M,1.37,433.57,Energy
Cameco Corporation,CCJ,$3.63B,1.96,4.38,Basic Industries
"TESARO, Inc.",TSRO,$7.77B,0.46,742.74,Health Care
"Autoliv, Inc.",ALV,$9.71B,0.32,899.66,Capital Goods
MGE Energy Inc.,MGEE,$2.36B,0.13,772.69,Energy
CA Inc.,CA,$13.23B,1.49,694.2,Technology
"First Midwest Bancorp, Inc.",FMBI,$2.64B,0.3,497.98,Finance
Sterling Bancorp,STL,$3.18B,0.67,117.46,Finance
"CapStar Financial Holdings, Inc.",CSTR,$196.97M,1.85,495.54,Finance
Good Times Restaurants Inc.,GTIM,$41.81M,1.06,719.73,Consumer Services
"Golden Entertainment, Inc.",GDEN,$462.74M,0.7,952.78,Consumer Services
Navistar International Corporation,NAV,$2.61B,1.26,223.73,Capital Goods
Fifth Street Finance Corp.,FSCE,n/a,1.09,716.31,n/a
"CareTrust REIT, Inc.",CTRE,$1.4B,0.83,735.26,Consumer Services
"Best Buy Co., Inc.",BBY,$16.97B,1.24,486.64,Consumer Services
"Electro-Sensors, Inc.",ELSE,$14.09M,0.92,743.84,Capital Goods
"Swiss Helvetia Fund, Inc. (The)",SWZ,$315.16M,0.94,794.5,n/a
Barington/Hilco Acquisition Corp.,BHACR,n/a,1.3,603.98,Finance
Saban Capital Acquisition Corp.,SCAC,$315.63M,1.89,489.89,Finance
Presbia PLC,LENS,$53.93M,0.89,501.69,Health Care
Hallador Energy Company,HNRG,$213.57M,1.66,354.17,Energy
Calpine Corporation,CPN,$4.86B,1.38,390.51,Public Utilities
AVX Corporation,AVX,$2.71B,0.83,912.09,Capital Goods
China Eastern Airlines Corporation Ltd.,CEA,$8.42B,1.95,65.01,Transportation
"Seattle Genetics, Inc.",SGEN,$9.21B,1.68,669.75,Health Care
"Stericycle, Inc.",SRCLP,n/a,1.49,430.4,Basic Industries
"Entergy Louisiana, Inc.",ELJ,n/a,0.28,36.49,Public Utilities
Vanguard Global ex-U.S. Real Estate ETF,VNQI,$4.39B,1.72,489.35,n/a
Gabelli NextShares Trust,FOANC,n/a,1.07,121.07,n/a
Diana Shipping inc.,DSXN,n/a,1.51,650.57,Transportation
"TrueCar, Inc.",TRUE,$1.75B,0.97,848.05,Technology
"Spirit Realty Capital, Inc.",SRC,$3.76B,1.71,821.94,Consumer Services
"Rand Logistics, Inc.",RLOG,$6.7M,0.93,631.18,Consumer Services
Blueprint Medicines Corporation,BPMC,$1.56B,1.39,216.01,Health Care
"ABIOMED, Inc.",ABMD,$6.28B,1.45,603.78,Health Care
Medovex Corp.,MDVXW,n/a,0.09,265.64,Health Care
"Westbury Bancorp, Inc.",WBB,$82.77M,1.93,985.52,Finance
"USANA Health Sciences, Inc.",USNA,$1.6B,1.16,590.5,Consumer Durables
Egalet Corporation,EGLT,$70.95M,0.15,159.68,Health Care
"United Dominion Realty Trust, Inc.",UDR,$10.75B,0.58,636.8,Consumer Services
"LTC Properties, Inc.",LTC,$1.98B,0.49,219.02,Consumer Services
Costamare Inc.,CMRE^D,n/a,1.9,618.53,n/a
MFS Government Markets Income Trust,MGF,$162.35M,0.84,407.07,n/a
"Paramount Group, Inc.",PGRE,$3.79B,0.17,81.24,Consumer Services
